question,answer
"Hello","Hi there! How can I help you with college-related information?"
"Hi","Hello! What would you like to know about the college?"
"What is the admission process?","You need to apply through the admission department, submit required documents, and pay the registration fee."
"Where is the admission office?","The admission office is located on the ground floor of the main building."
"How do I contact the accounts office?","The accounts office is in Block B, 2nd floor. You can visit for fee payments or queries."
"Where can I check my ERP login details?","ERP login details are provided by the IT department. Visit the ERP helpdesk in Block C."
"Tell me about hostels","The college has separate hostels for boys and girls with facilities like Wi-Fi, mess, and study rooms."
"Is food available in the hostel?","Yes, hostel mess provides breakfast, lunch, and dinner."
"What courses are available?","The college offers B.Tech, M.Tech, MBA, and MCA in various branches."
"What branches are available in B.Tech?","B.Tech branches include Computer Science, Electronics, Mechanical, Civil, and Electrical."
"Where can I find event details?","Event details are posted on the college notice board and the official website."
"How can I join college clubs?","You can register for clubs during the orientation week or contact the Student Activities Department."
"Where is the library?","The library is in Block A, first floor. It has books, journals, and digital resources."
"What are the library timings?","The library is open from 9 AM to 7 PM on weekdays."
"Does the college provide placement support?","Yes, the Training and Placement Cell provides support for internships and campus placements."
"Where is the canteen?","The canteen is located near the central courtyard and serves snacks and meals."
"Are sports facilities available?","Yes, the college has a playground, indoor stadium, and gym facilities for students."
